,RefSeq Assembly ID,#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
10,GCF_000568855.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GCF_030758435.1,GCF_030758435.1,PRJNA224116,SAMN36919166,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=NY11352,na,latest,Complete Genome,Major,Full,2023/08/16,ASM3075843v1,Beijing Institute of Microbiology and Epidemiology,GCA_030758435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/758/435/GCF_030758435.1_ASM3075843v1,na,na,na,haploid,bacteria,7060127.0,7060127.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),08/17/23,6736,6550,86,na
12,GCF_000223965.1,GCF_000223965.1,PRJNA224116,SAMN02471402,AFXK00000000.1,na,1051004.0,287.0,Pseudomonas aeruginosa 213BR,strain=213BR,na,latest,Chromosome,Major,Full,2011/08/17,ASM22396v2,"IBIS, Universite Laval",GCA_000223965.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/965/GCF_000223965.1_ASM22396v2,na,na,na,haploid,bacteria,6719211.0,6719211.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/29/19,6301,6140,81,22207740
13,GCF_000226155.1,GCF_000226155.1,PRJNA224116,SAMN02603849,na,na,941193.0,287.0,Pseudomonas aeruginosa M18,strain=M18,na,latest,Complete Genome,Major,Full,2011/09/19,ASM22615v1,"School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, PR China",GCA_000226155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/155/GCF_000226155.1_ASM22615v1,na,na,na,haploid,bacteria,6327754.0,6327754.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/10/22,5878,5746,79,21884571
14,GCF_000271365.1,GCF_000271365.1,PRJNA224116,SAMN02603895,na,na,1093787.0,287.0,Pseudomonas aeruginosa DK2,strain=DK2,na,latest,Complete Genome,Major,Full,2012/06/20,ASM27136v1,Technical University of Denmark,GCA_000271365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/365/GCF_000271365.1_ASM27136v1,na,na,na,haploid,bacteria,6402658.0,6402658.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/01/22,5981,5792,80,22672046
15,GCF_000271985.2,GCF_000271985.2,PRJNA224116,SAMN02470939,na,na,1193501.0,287.0,Pseudomonas aeruginosa SJTD-1,strain=SJTD-1,na,latest,Complete Genome,Major,Full,2016/06/02,ASM27198v2,Shanghai Jiao Tong University,GCA_000271985.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/985/GCF_000271985.2_ASM27198v2,na,na,na,haploid,bacteria,6243825.0,6243825.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/05/23,5756,5634,79,22887679
16,GCF_000284555.1,GCF_000284555.1,PRJNA224116,SAMD00061003,na,na,1089456.0,287.0,Pseudomonas aeruginosa NCGM2.S1,strain=NCGM2.S1,na,latest,Complete Genome,Major,Full,2011/09/29,ASM28455v1,National Center for Global Health and Medicine,GCA_000284555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/555/GCF_000284555.1_ASM28455v1,na,na,na,haploid,bacteria,6764661.0,6764661.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/24/22,6352,6182,84,22123763
17,GCF_000359505.1,GCF_000359505.1,PRJNA224116,SAMN02603669,na,na,1280938.0,287.0,Pseudomonas aeruginosa B136-33,strain=B136-33,na,latest,Complete Genome,Major,Full,2013/04/09,ASM35950v1,National Tsing Hua University,GCA_000359505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/505/GCF_000359505.1_ASM35950v1,na,na,na,haploid,bacteria,6421010.0,6421010.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),09/20/22,5931,5792,80,na
18,GCF_028366415.1,GCF_028366415.1,PRJNA224116,SAMN32978019,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=2023CK-00048,na,latest,Complete Genome,Major,Full,2023/08/06,ASM2836641v3,Utah Public Health Laboratory Infectious Disease submission group,GCA_028366415.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/366/415/GCF_028366415.1_ASM2836641v3,na,na,na,haploid,bacteria,7085539.0,7085539.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),08/09/23,6657,6461,80,na
19,GCF_030563585.1,GCF_030563585.1,PRJNA224116,SAMN36704194,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=AU10241,AU10241_L13_Resistant,latest,Complete Genome,Major,Full,2023/08/01,ASM3056358v1,Bowling Green State University,GCA_030563585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/563/585/GCF_030563585.1_ASM3056358v1,na,na,na,haploid,bacteria,6626157.0,6626157.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),08/02/23,6160,5875,80,na
20,GCF_030563765.1,GCF_030563765.1,PRJNA224116,SAMN36704195,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=AU10241,AU10241_L13_Control,latest,Complete Genome,Major,Full,2023/08/01,ASM3056376v1,Bowling Green State University,GCA_030563765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/563/765/GCF_030563765.1_ASM3056376v1,na,na,na,haploid,bacteria,6626066.0,6626066.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),08/02/23,6161,5874,80,na
21,GCF_030564045.1,GCF_030564045.1,PRJNA224116,SAMN36704193,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=AU10241,na,latest,Complete Genome,Major,Full,2023/08/01,ASM3056404v1,Bowling Green State University,GCA_030564045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/564/045/GCF_030564045.1_ASM3056404v1,na,na,na,haploid,bacteria,6626075.0,6626075.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),08/02/23,6159,5873,80,na
22,GCF_030505595.1,GCF_030505595.1,PRJNA224116,SAMN36408992,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA1045,na,latest,Complete Genome,Major,Full,2023/07/19,ASM3050559v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030505595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/505/595/GCF_030505595.1_ASM3050559v1,na,na,na,haploid,bacteria,7008048.0,7008048.0,65.5,3.0,3.0,3.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/19/23,6713,6548,79,na
23,GCF_030489625.1,GCF_030489625.1,PRJNA224116,SAMN36345607,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA2500,na,latest,Complete Genome,Major,Full,2023/07/17,ASM3048962v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030489625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/489/625/GCF_030489625.1_ASM3048962v1,na,na,na,haploid,bacteria,7213853.0,7213853.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,6923,6628,87,na
24,GCF_030489645.1,GCF_030489645.1,PRJNA224116,SAMN36345843,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA2209,na,latest,Complete Genome,Major,Full,2023/07/17,ASM3048964v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030489645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/489/645/GCF_030489645.1_ASM3048964v1,na,na,na,haploid,bacteria,6767841.0,6767841.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,6447,6247,81,na
25,GCF_030490735.1,GCF_030490735.1,PRJNA224116,SAMN36346258,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA2818,na,latest,Complete Genome,Major,Full,2023/07/17,ASM3049073v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030490735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/490/735/GCF_030490735.1_ASM3049073v1,na,na,na,haploid,bacteria,6927647.0,6927647.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,6550,6331,88,na
26,GCF_030436095.1,GCF_030436095.1,PRJNA224116,SAMN36292208,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA272,na,latest,Complete Genome,Major,Full,2023/07/12,ASM3043609v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030436095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/436/095/GCF_030436095.1_ASM3043609v1,na,na,na,haploid,bacteria,7208244.0,7208244.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/14/23,6860,6697,81,na
27,GCF_030444495.1,GCF_030444495.1,PRJNA224116,SAMN36290998,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=CW41,na,latest,Complete Genome,Major,Full,2023/07/13,ASM3044449v1,Monash University,GCA_030444495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/444/495/GCF_030444495.1_ASM3044449v1,na,na,na,haploid,bacteria,6210214.0,6210214.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,5755,5528,81,na
28,GCF_030444595.1,GCF_030444595.1,PRJNA224116,SAMN35794375,na,na,208964.0,287.0,Pseudomonas aeruginosa PAO1,strain=PAO1,na,latest,Complete Genome,Major,Full,2023/07/13,ASM3044459v1,University of Liege,GCA_030444595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/444/595/GCF_030444595.1_ASM3044459v1,na,na,na,haploid,bacteria,6264393.0,6264393.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,5785,5669,79,na
29,GCF_030444635.1,GCF_030444635.1,PRJNA224116,SAMN35794376,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=TNP004,na,latest,Complete Genome,Major,Full,2023/07/13,ASM3044463v1,University of Liege,GCA_030444635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/444/635/GCF_030444635.1_ASM3044463v1,na,na,na,haploid,bacteria,6264388.0,6264388.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,5785,5669,79,na
30,GCF_030444655.1,GCF_030444655.1,PRJNA224116,SAMN35794377,na,na,208964.0,287.0,Pseudomonas aeruginosa PAO1,strain=PAO1,na,latest,Complete Genome,Major,Full,2023/07/13,ASM3044465v1,University of Liege,GCA_030444655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/444/655/GCF_030444655.1_ASM3044465v1,na,na,na,haploid,bacteria,6264189.0,6264189.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,5786,5668,79,na
31,GCF_030444675.1,GCF_030444675.1,PRJNA224116,SAMN35794378,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=LG03,na,latest,Complete Genome,Major,Full,2023/07/13,ASM3044467v1,University of Liege,GCA_030444675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/444/675/GCF_030444675.1_ASM3044467v1,na,na,na,haploid,bacteria,6264426.0,6264426.0,66.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/17/23,5785,5670,79,na
32,GCF_030413195.1,GCF_030413195.1,PRJNA224116,SAMN35084065,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=PA942,na,latest,Complete Genome,Major,Full,2023/07/09,ASM3041319v1,"Zhejiang Provincial People's Hospital (Affiliated People's Hospital, Hangzhou Medical College)",GCA_030413195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/413/195/GCF_030413195.1_ASM3041319v1,na,na,na,haploid,bacteria,7402462.0,7402462.0,65.0,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/13/23,7146,6921,81,na
33,GCF_030388285.1,GCF_030388285.1,PRJNA224116,SAMN29618125,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=LG2-2,na,latest,Complete Genome,Major,Full,2023/07/03,ASM3038828v1,Huazhong Agricultural University,GCA_030388285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/388/285/GCF_030388285.1_ASM3038828v1,na,na,na,haploid,bacteria,6343532.0,6343532.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/05/23,5841,5738,79,na
34,GCF_030369815.1,GCF_030369815.1,PRJNA224116,SAMN35795876,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=Fe8-1,na,latest,Complete Genome,Major,Full,2023/06/28,ASM3036981v1,Chulalongkorn University,GCA_030369815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/369/815/GCF_030369815.1_ASM3036981v1,na,na,na,haploid,bacteria,6429397.0,6429397.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/29/23,5942,5815,79,na
35,GCF_030369835.1,GCF_030369835.1,PRJNA224116,SAMN35795914,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=Fe11-1,na,latest,Complete Genome,Major,Full,2023/06/28,ASM3036983v1,Chulalongkorn University,GCA_030369835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/369/835/GCF_030369835.1_ASM3036983v1,na,na,na,haploid,bacteria,6392724.0,6392724.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/29/23,5903,5788,79,na
36,GCF_030369855.1,GCF_030369855.1,PRJNA224116,SAMN35796076,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=WS27-3,na,latest,Complete Genome,Major,Full,2023/06/28,ASM3036985v1,Chulalongkorn University,GCA_030369855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/369/855/GCF_030369855.1_ASM3036985v1,na,na,na,haploid,bacteria,6457547.0,6457547.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/29/23,5991,5875,80,na
37,GCF_000414035.1,GCF_000414035.1,PRJNA224116,SAMN02603771,na,na,1340851.0,287.0,Pseudomonas aeruginosa RP73,strain=RP73,na,latest,Complete Genome,Major,Full,2013/06/24,ASM41403v1,"San Raffaele Scientific Institute, Division of Immunology, Transplantation and Infectious Diseases, Milano, Italy",GCA_000414035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/414/035/GCF_000414035.1_ASM41403v1,na,na,na,haploid,bacteria,6342034.0,6342034.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/13/22,5892,5733,79,23908295
38,GCF_000496455.2,GCF_000496455.2,PRJNA224116,SAMN02383553,na,na,1411700.0,287.0,Pseudomonas aeruginosa DHS01,strain=DH01,na,latest,Complete Genome,Major,Full,2016/01/25,ASM49645v2,Hospital of Besancon - France,GCA_000496455.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/455/GCF_000496455.2_ASM49645v2,na,na,na,haploid,bacteria,7055752.0,7055752.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),02/05/23,6777,6618,87,24874685
39,GCF_000496605.2,GCF_000496605.2,PRJNA224116,SAMN02603191,na,na,1279007.0,287.0,Pseudomonas aeruginosa PA1,strain=PA1,na,latest,Complete Genome,Major,Full,2015/09/11,ASM49660v2,"Department of Microbiology, The Third Military Medical University",GCA_000496605.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/605/GCF_000496605.2_ASM49660v2,na,na,na,haploid,bacteria,6498072.0,6498072.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/11/22,6066,5924,81,26659688
40,GCF_000496645.1,GCF_000496645.1,PRJNA224116,SAMN02603192,na,na,1279008.0,287.0,Pseudomonas aeruginosa PA1R,strain=PA1R,na,latest,Complete Genome,Major,Full,2013/11/12,ASM49664v1,"Department of Microbiology, The Third Military Medical University",GCA_000496645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/645/GCF_000496645.1_ASM49664v1,na,na,na,haploid,bacteria,6309305.0,6309305.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/28/22,5909,5767,82,na
41,GCF_000504045.1,GCF_000504045.1,PRJNA224116,SAMN02389526,na,na,1415629.0,287.0,Pseudomonas aeruginosa MTB-1,strain=MTB-1,na,latest,Complete Genome,Major,Full,2013/12/05,ASM50404v1,Tohoku University,GCA_000504045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/045/GCF_000504045.1_ASM50404v1,na,na,na,haploid,bacteria,6580038.0,6580038.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/11/22,6147,6011,79,24459257
42,GCF_000508765.1,GCF_000508765.1,PRJNA224116,SAMN02641592,na,na,1408272.0,287.0,Pseudomonas aeruginosa LES431,strain=LES431,na,latest,Complete Genome,Major,Full,2013/12/17,ASM50876v1,"IBIS, University Laval",GCA_000508765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/765/GCF_000508765.1_ASM50876v1,na,na,na,haploid,bacteria,6550070.0,6550070.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/28/22,6116,5958,83,na
43,GCF_030264075.1,GCF_030264075.1,PRJNA224116,SAMN33794324,na,na,652611.0,287.0,Pseudomonas aeruginosa PA14,strain=MA3,DTU_MIE,latest,Complete Genome,Major,Full,2023/06/13,ASM3026407v1,Technical university of Denmark,GCA_030264075.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/264/075/GCF_030264075.1_ASM3026407v1,na,na,na,haploid,bacteria,6541163.0,6541163.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/13/23,6046,5920,80,na
44,GCF_951802375.2,GCF_951802375.2,PRJNA224116,SAMEA113485043,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=3541,3541,latest,Complete Genome,Major,Full,2023/06/13,Paer3541.1,ncipd,GCA_951802375.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/951/802/375/GCF_951802375.2_Paer3541.1,na,na,na,haploid,bacteria,7083008.0,7083008.0,65.5,3.0,3.0,3.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/25/23,6625,6463,82,na
45,GCF_951805275.2,GCF_951805275.2,PRJNA224116,SAMEA113485044,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=3796A,3796A,latest,Complete Genome,Major,Full,2023/06/13,Paer3796A.1,ncipd,GCA_951805275.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/951/805/275/GCF_951805275.2_Paer3796A.1,na,na,na,haploid,bacteria,7180077.0,7180077.0,65.5,2.0,2.0,2.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/14/23,6723,6559,81,na
46,GCF_951691365.1,GCF_951691365.1,PRJNA224116,SAMEA113485042,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=4782MK,4782MK,latest,Complete Genome,Major,Full,2023/06/13,Paer4782MK.1,ncipd,GCA_951691365.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/951/691/365/GCF_951691365.1_Paer4782MK.1,na,na,na,haploid,bacteria,7444543.0,7444543.0,65.5,3.0,3.0,3.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),06/25/23,7088,6902,77,na
47,GCF_030253475.1,GCF_030253475.1,PRJNA224116,SAMN33329571,na,na,287.0,287.0,Pseudomonas aeruginosa,strain=22112,na,latest,Complete Genome,Major,Full,2023/06/12,ASM3025347v1,Case Western Reserve University,GCA_030253475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/253/475/GCF_030253475.1_ASM3025347v1,na,na,na,haploid,bacteria,7082165.0,7082165.0,65.5,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),07/30/23,6657,6413,80,37166191
48,GCF_000510305.1,GCF_000510305.1,PRJNA224116,SAMN02415141,na,na,1427342.0,287.0,Pseudomonas aeruginosa SCV20265,strain=SCV20265,na,latest,Complete Genome,Major,Full,2013/12/18,ASM51030v1,Helmholtz Center for Infection Research,GCA_000510305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/510/305/GCF_000510305.1_ASM51030v1,na,na,na,haploid,bacteria,6725183.0,6725183.0,66.0,1.0,1.0,1.0,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/11/22,6301,6153,80,24459283
